Rank,Address,NFT_Count,Total_DOLO,Vote_Weight,Earliest_Lock_End,Latest_Lock_End,Token_IDs
1,0xc0BB26Dce66f9BEfD500Eb75842506025956D584,9,4635915.77,1855008.5133,2027-02-04,2028-02-03,660;8563;15370;15616;16933;22004;22744;23217;23357
2,0xAD30A962A03bC7134CC1545BEA7318C8E472FF97,1,2500000.0,1452855.7046,2027-04-22,2027-04-22,2109
3,0xD93bDEcBED0BA6dFD32Edc5B8610591F2533202c,26,2395446.79,504989.9878,2027-06-17,2027-12-16,14734;14739;14778;15039;16258;17512;17513;18694;19537;19538;19539;20889;20895;20967;21559;21778;21779;22220;22221;22489;22668;22669;22884;22885;23476;23477
4,0x3cbF175bA7c1f5fBc16A52ce15b09fed60dd483c,6,2345573.38,181667.2447,2027-02-04,2028-02-10,531;15315;15316;21606;22870;23441
5,0x37d0371D17e5E587B236504515A4bAabC08da619,26,1411553.5,455500.0968,2027-02-04,2028-01-27,666;4547;16769;17126;18772;20908;21182;21358;21522;21702;21891;22066;22226;22347;22519;22612;22717;22719;22778;22845;22922;22999;23074;23164;23237;23306
6,0xE1Ad30971b83c17E2A24c0334CB45f808AbEBc87,2,1258129.58,1039140.0452,2027-02-04,2027-10-21,15311;22140
7,0xB5c46131B4d8d13e4c0E476B9A2Ea5b43945891e,1,939328.94,0.0,2027-04-22,2027-04-22,3289
8,0x14C32A94d825b0fBfc1A7024282F6BcAAA3082D1,5,863658.87,374785.0108,2026-10-22,2027-10-21,2774;21805;23002;23094;23199
9,0x62dFA6eBA6a34E55c454894dd9b3E688F88CB09b,30,848393.88,294389.9373,2027-02-04,2028-01-27,10139;14817;14948;15214;15439;15731;15973;16111;16112;16152;16524;16634;16635;17188;17189;17193;17194;17195;17196;17197;19752;19753;21107;21109;21710;22770;22771;22772;22773;23295
10,0x2d8873c5270c64C66E831e1E359f88f9E81A91Fd,1,781223.79,461492.8651,2027-04-29,2027-04-29,3783
11,0x416A3427414B6c98aDab70f48a2A904d1cf3F446,13,780000.0,80494.0319,2027-09-16,2028-01-13,21241;21245;21254;21259;21307;21523;21524;21731;21732;22219;22662;23176;23478
12,0x89EC941F01eEc9C8d2e1E924cC807ca4A1233617,27,722303.01,340610.4518,2027-04-22,2028-02-10,142;16485;16898;16899;17625;19728;20932;21246;21414;21471;21610;21660;21882;22059;22211;22333;22494;22590;22687;23005;23006;23251;23252;23253;23450;23451;23490
13,0xE1f93a4adaa42510f1Efc0a920a014b30FCf4576,1,701481.81,333668.1981,2027-02-04,2027-02-04,4094
14,0x32cd32b45277BF025C1df7BB4388e6a412B77FE5,328,672484.19,146322.2826,2027-03-11,2028-02-10,14939;15339;15539;15540;15603;15901;15916;15924;16133;16134;16135;16136;16558;16575;16578;16580;16861;16870;17473;17718;19741;19742;20865;20867;21086;21087;21312;21313;21469;21470;21646;21647;21648;21649;21788;21789;21791;21792;21836;21837;21857;21858;21859;21860;21896;21898;21899;21901;21902;21903;21904;21905;21906;21914;21981;21982;21986;21987;22029;22030;22049;22051;22052;22073;22074;22075;22076;22077;22129;22130;22189;22190;22198;22206;22207;22227;22228;22229;22274;22284;22303;22304;22305;22306;22307;22357;22358;22359;22410;22411;22412;22413;22414;22415;22417;22418;22419;22420;22421;22422;22423;22424;22425;22426;22427;22492;22503;22504;22505;22506;22507;22508;22509;22510;22511;22541;22542;22543;22544;22545;22546;22547;22548;22549;22596;22597;22598;22599;22600;22601;22602;22603;22604;22618;22619;22620;22621;22622;22623;22624;22625;22631;22670;22671;22672;22673;22674;22675;22676;22677;22698;22699;22700;22701;22702;22703;22704;22705;22730;22731;22732;22733;22734;22735;22736;22737;22758;22759;22760;22761;22762;22763;22764;22765;22785;22786;22787;22792;22809;22810;22811;22812;22813;22814;22815;22816;22824;22825;22826;22827;22828;22829;22830;22831;22847;22848;22849;22850;22858;22876;22877;22878;22879;22880;22881;22882;22883;22905;22906;22907;22908;22909;22910;22911;22912;22923;22924;22925;22926;22931;22947;22948;22949;22950;22951;22952;22953;22954;22971;22972;22973;22974;22975;22976;22977;22978;22991;22992;22993;23000;23001;23016;23017;23018;23019;23020;23021;23022;23023;23049;23050;23051;23052;23053;23054;23055;23056;23067;23068;23069;23075;23076;23096;23097;23098;23099;23100;23101;23102;23103;23134;23135;23136;23137;23138;23139;23140;23141;23153;23154;23156;23157;23158;23202;23203;23204;23273;23274;23275;23280;23340;23341;23342;23343;23344;23345;23346;23347;23348;23359;23406;23407;23408;23409;23410;23411;23412;23413;23414;23415;23416;23417;23418;23419;23420;23421;23422;23423;23424;23425;23426;23427;23484;23485;23486;23487;23488;23489
15,0xdC93d15DAf868F08e18d0646c62667410F1f212a,1,622344.86,296025.7256,2027-02-04,2027-02-04,4472
16,0x8C39b7cB82B9D791ADCc9387098944B635C17B32,28,617356.6,215503.2356,2027-02-04,2028-02-03,234;4682;15054;15367;15613;16042;16645;18238;18239;19968;20890;21185;21363;21529;21706;21895;22143;22280;22477;22529;22592;22632;22706;22868;22983;23145;23216;23358
17,0x1955fb36e0F92b2518584b3Ad31e59c2e8C7fcf7,2,616178.17,0.0,2028-01-06,2028-01-13,23070;23163
18,0x83560D47550bb1d52E4dA82560971fE03e52526A,5,551083.95,0.0,2027-04-22,2027-11-25,999;18769;20910;22587;22655
19,0xfB4cB868727D9622258bf2B26A8CFc95f6742669,1,535210.04,311033.1866,2027-04-22,2027-04-22,2106
20,0xD3F41CB0f4c3abdA85845D00F10C6b11740509F8,30,531580.08,125037.3884,2027-02-04,2028-01-20,357;8713;16606;18339;19481;19482;19483;19484;20877;20878;20879;20880;20905;21169;21238;21346;21408;21428;21597;22565;22566;22637;22638;22803;22864;22936;23024;23025;23150;23241
21,0x41Bc7d0687e6Cea57Fa26da78379DfDC5627C56d,2,512124.83,294902.985,2027-02-04,2027-04-22,329;4321
22,0xADeED59F446cb0a141837e8f7c22710d759Cba65,7,453642.48,252118.464,2027-02-04,2027-09-09,37;4090;16083;16787;17265;20688;21021
23,0x36f4E1803f6fF34562dB567f347dea00DeC87246,6,448970.9,0.0,2027-04-22,2027-11-11,1330;21711;22479;22480;22521;22522
24,0xDCc2675bbE4D931dE00da054C62eB9FCff2175A9,4,446176.59,210965.0926,2027-02-04,2027-10-07,14061;14062;15224;21717
25,0xfE95b935EABDa9FC47233223c057c590E95ce47B,1,441743.8,256716.1838,2027-04-22,2027-04-22,938
26,0xc018b9a9a1E881C0Be9078c580e7B10041E33230,18,440093.17,209172.8176,2027-02-04,2028-02-10,75;5687;14879;14880;14881;16918;18332;20103;22440;22569;22649;22650;22725;23152;23322;23376;23434;23509
27,0x777538E9e6FB692420Ecd63ADD56Ae2e34227e94,11,436682.2,239287.208,2027-04-22,2027-10-14,125;14944;15358;15692;16072;16182;16737;17086;19054;21379;21934
28,0xE518E345E43A8944E0c28d4678648E0665408490,1,428194.63,0.0,2027-04-22,2027-04-22,2822
29,0x9c0D1F4a029c46265831D120DeE9CDc72F0aB3C3,10,404519.03,185210.7145,2027-02-04,2027-09-09,82;5474;10140;14818;14949;15770;15826;15887;16151;20995
30,0x2D83d947E46d1BAbA92dB00F40EADC4BB2A32966,1,402830.78,234102.1909,2027-04-22,2027-04-22,211
